rank,name,rating,sigma,races_participated
1,AUFFRET Ronan,2672.823444387952,40.06124758539716,18
2,SIMONNET Loan,2318.5471891819793,41.145144204059186,10
3,CHARTIER Cédric,2289.578925200704,42.40642840853214,8
4,MARIE Yan,2276.671646996311,40.04252489331057,19
5,DERLY Sullivan,2259.819607648838,40.79232083523766,11
6,NOGUEIRA Romain,2188.3564435768512,40.127088705613964,16
7,DARBEAU Pierre,2132.863496095822,41.65791003585406,9
8,GUINGAND Joshua,2126.58377493205,57.75331719781477,3
9,VAN WEYMEERSCH Jérémy,2100.7391506116355,41.145144204059186,10
10,PICANT Wilfried,2098.193066989493,51.45275281723964,4
11,SCIEUX Aymeric,2087.0754555724,41.145144204059186,10
12,DEBRET Sébastien,2077.590453393813,47.61021561506259,5
13,CHAUMERLIAT Rémi,2067.946632642028,41.65791003585406,9
14,CHUBERRE Loïck,2064.7647263923977,47.61021561506259,5
15,GOLFIERI Sébastien,2056.551285180494,40.26390159054981,14
16,MESNILDREY Julien,2034.3065591484674,41.145144204059186,10
17,GOUYA Jean-Marie,2033.2951637202998,40.183112953455485,15
18,NICOLAS Wilfried,2032.6194592945346,40.127088705613964,16
19,HARDOUIN Sacha,2017.3107277519466,40.02952724770834,20
20,PICH Jean-Luc,2009.2693343493456,47.61021561506259,5
21,FOUQUET Paul,1996.3565800161941,40.54883629530469,12
22,BUFFENOIR Axel,1990.424129450507,41.145144204059186,10
23,BRIAND Damien,1979.458349880772,57.75331719781477,3
24,AMET Basile (*),1963.2417918806375,57.75331719781477,3
25,DELSART Anaïs,1947.6182092677714,40.183112953455485,15
26,CORBEAU Laurent,1941.4854819231537,40.06124758539716,18
27,HERNAULT Loïc,1931.1561145765352,57.75331719781477,3
28,BRILLOUET Pierre,1923.814449636758,40.08822089336331,17
29,FUSILLER Nicolas,1922.0996206536684,42.40642840853214,8
30,PINHEIRO Nicolas,1920.334343489837,41.145144204059186,10
31,AMBERT Jérémy,1913.760417656897,40.02050313980621,21
32,CHAMAYOU Etienne,1912.229862100576,40.79232083523766,11
33,LUEZ Paul,1901.9903704843966,43.506526604781136,7
34,FRANCE David,1901.0041002761127,43.506526604781136,7
35,ROUILLIER Mathieu,1894.2464705758368,40.04252489331057,19
36,DA SILVA Emeric,1885.9956847616875,40.183112953455485,15
37,PILLON Jules,1883.9090541990013,57.75331719781477,3
38,DE FARIA Arthur,1882.3337501039932,40.001596610324775,28
39,JEAN Pascal,1881.742861799828,57.75331719781477,3
40,NOUVET Kévin,1880.250548543575,40.54883629530469,12
41,OIZEL Enzo,1875.476286341302,41.145144204059186,10
42,BILLOT Bastien,1868.3019792886703,40.00476760750815,25
43,DELSART  Eddy,1867.9047361596515,51.45275281723964,4
44,COELHO Enzo,1864.8426408441576,40.06124758539716,18
45,BONFAND Grégory,1862.6940825220877,57.75331719781477,3
46,LESNE Gwilherm,1861.8318142952878,40.08822089336331,17
47,PRIGENT Killian,1859.5086467910246,40.183112953455485,15
48,SAO JOSE Christophe,1858.812838088194,40.06124758539716,18
49,ROBIN Aymeric,1854.383080485147,41.65791003585406,9
50,MAESTRINI Jérôme,1852.738401510853,40.26390159054981,14
51,BOURGOIN Philippe,1851.1460911400939,40.26390159054981,14
52,VIEIRA Thomas,1845.5341641194168,40.79232083523766,11
53,MULLER Jorg,1841.529172419916,47.61021561506259,5
54,LE DROGO Sébastien,1839.1668264420641,41.145144204059186,10
55,LEFEBVRE Thomas,1832.225107050752,51.45275281723964,4
56,VAUXION Thibault,1826.263533362762,47.61021561506259,5
57,FAURE Cédric,1822.5233995548135,41.65791003585406,9
58,ROUSSANGE Noël,1813.5752388857734,40.26390159054981,14
59,AMELOT Ludovic,1812.43513084691,51.45275281723964,4
60,FIFE Thiérry,1810.1721849765793,40.79232083523766,11
61,GRANDJEAN Maxime,1809.2841008905723,41.145144204059186,10
62,LAGAB Kévin,1808.394223853866,40.26390159054981,14
63,LEGRAND Stéphane,1791.9774070461567,41.145144204059186,10
64,FRAGNOLI Giovanny,1791.6517287586687,45.14064349325851,6
65,EONO Yohan,1783.659263438385,42.40642840853214,8
66,FERRERA Frédéric,1783.5678674958945,40.127088705613964,16
67,VERLET William,1777.6462405921231,43.506526604781136,7
68,LEVERT Nicolas,1774.8356557071504,40.02050313980621,21
69,VERGNES Sébastien,1770.40357467759,41.65791003585406,9
70,NARDOT-GOI Jason,1767.9102379088138,57.75331719781477,3
71,LE-HETET Jean-François,1765.5564950906596,40.001596610324775,28
72,JADAUT Yann,1759.8423769520118,57.75331719781477,3
73,HADID Raphaël,1759.8164058097634,57.75331719781477,3
74,DEBOES Kevin,1754.8174962080082,57.75331719781477,3
75,D'AGOSTINO Mattéo,1751.2968200981811,47.61021561506259,5
76,BRAZES Fabien (*),1749.1427751482863,40.54883629530469,12
77,RICHARD Tom,1744.0577678084317,40.06124758539716,18
78,LE MOAL Yannick,1742.0857482032409,40.26390159054981,14
79,DENOST Rémy,1740.5881588076595,42.40642840853214,8
80,SOARES Bruno,1732.8975275288356,43.506526604781136,7
81,GALINDO Christophe,1728.9722192383063,40.08822089336331,17
82,DONATI Jean-Francois,1726.8963249936073,40.54883629530469,12
83,COUTURIER Laurent,1725.420198805669,40.183112953455485,15
84,CHENAVARD Lucas,1723.282878488728,45.14064349325851,6
85,NOTH Frédéric,1721.3407022039507,43.506526604781136,7
86,PACHOT Stéphane,1720.152297025337,40.183112953455485,15
87,ETHEVE Armand,1719.018365045875,57.75331719781477,3
88,BINCKLY Olivier,1716.7318828408804,43.506526604781136,7
89,FIFE Pierre,1716.0166514138841,51.45275281723964,4
90,BOCCHECIAMPE Nicolas,1714.215518387321,40.54883629530469,12
91,FEUNTEUN Ronan,1711.7383408662722,40.00476760750815,25
92,EOCHE-DUVAL Enguerrand,1709.2700890606336,40.183112953455485,15
93,TONY Keyran,1707.9411480762758,41.145144204059186,10
94,JESSURIN Réaldo,1703.2387454274453,40.04252489331057,19
95,AILLEAUME Julien,1694.748787278271,40.38047455390968,13
96,ORSATTONI Philippe,1694.5324858738118,40.00229913538737,27
97,RIVOALEN Arnaud,1687.7212093181738,42.40642840853214,8
98,RESSE Vincent,1685.9852657216506,57.75331719781477,3
99,MARQUES Rémy,1684.362508413492,40.38047455390968,13
100,MAJERES Adrien,1683.7124274576702,42.40642840853214,8
101,SAUVAGE Albin,1683.442291960697,40.183112953455485,15
102,MICHOUT Eric,1673.8060366985233,40.79232083523766,11
103,JEANNEAU Lina,1668.1795936643878,40.02952724770834,20
104,ALVES Alain,1668.0958351734387,40.04252489331057,19
105,VERGE Thibaud,1664.9549563800085,40.08822089336331,17
106,JAMET Vladimir,1654.5222322010918,40.54883629530469,12
107,BONNET OULALDJ Nicolas,1654.2598670441403,45.14064349325851,6
108,PANSART Marylise,1650.4611384959248,40.79232083523766,11
109,JOUVE Vincent,1649.6350300617166,43.506526604781136,7
110,BOUCHARIN Christian,1649.0042025782445,40.38047455390968,13
111,HERMANT Grégory,1648.593266454939,41.145144204059186,10
112,PRUD'HOMME Charles,1643.0629719837177,40.38047455390968,13
113,AUBARD Célia,1640.8720409422797,42.40642840853214,8
114,POIRIER Arthur,1635.781459379841,47.61021561506259,5
115,LBRUN Eric,1635.6904895565629,51.45275281723964,4
116,VANVYNCKT Michel,1629.5800375608292,40.014237378826266,22
117,TRIPIER Bruno,1627.18754046616,42.40642840853214,8
118,JOAO Jean-Claude,1625.6083724933367,40.54883629530469,12
119,THORE Pierre,1623.7937647603565,41.65791003585406,9
120,BARBERON Vincent,1617.5596839851519,40.08822089336331,17
121,LECONTE Romain,1614.909307108094,43.506526604781136,7
122,SANCHEZ Victor,1614.1741344022485,42.40642840853214,8
123,BOULAY Stéphane,1611.6675743609235,40.00008635595443,36
124,BOYEAU Marc,1609.1317925707272,47.61021561506259,5
125,BAILLEUL Michel,1608.94068427362,40.0005346957601,31
126,OREAC Arnaud,1607.3131287291606,43.506526604781136,7
127,DERBECQ Berenice,1594.000495057327,43.506526604781136,7
128,GANDEBOEUF Christian,1588.3708973006442,40.04252489331057,19
129,SIMONNEAU Aymeric,1585.8174420201542,45.14064349325851,6
130,PATRY Adrien,1585.5876239493355,40.26390159054981,14
131,PTAK Stéphane,1584.0619229595407,57.75331719781477,3
132,PARISSE Christophe,1576.194135562198,41.65791003585406,9
133,BOURGUIGNON Frédéric,1572.1249332430268,41.65791003585406,9
134,COUILLARD Gildas,1568.2023538443193,40.79232083523766,11
135,VINOT Arnaud,1563.169339082922,40.38047455390968,13
136,NAQUIN William,1561.6789956857945,43.506526604781136,7
137,GIROUX Romain,1553.1833876927294,45.14064349325851,6
138,MERLAEN Sébastien,1552.4306189232664,45.14064349325851,6
139,ANDRE Yann,1552.132876299646,43.506526604781136,7
140,SIMON Mathieu,1551.8746156199993,41.65791003585406,9
141,PICART Arnaud,1551.4019560802726,41.65791003585406,9
142,DELPLANQUE Antoine,1550.0158105434132,45.14064349325851,6
143,MARTIN Dorian,1548.9226087872207,45.14064349325851,6
144,PEMPTROAD Frédéric,1545.6328080260791,40.02952724770834,20
145,BORDONADA Adrien,1542.650093785511,41.65791003585406,9
146,CORNILLOT Christophe,1542.4270213502036,40.79232083523766,11
147,MAREC François,1539.0630809819386,41.145144204059186,10
148,HOLLEVILLE Bernard,1538.3358515056304,40.08822089336331,17
149,PIGNON Tristan,1537.8338282357597,41.145144204059186,10
150,LETELLIER Sébastien,1534.0483830529802,40.183112953455485,15
151,BROUZE Frédéric,1533.996184631311,40.127088705613964,16
152,MAUPOUX Renaud,1529.1322932807018,40.183112953455485,15
153,MOLINARIO Paul,1521.458608754642,40.02050313980621,21
154,BULTIEAU Jean-Pierre,1517.6102138905508,43.506526604781136,7
155,ETEVE Benoît,1516.2811678425105,47.61021561506259,5
156,SAUVAGE Irvin,1512.7764835227294,40.26390159054981,14
157,LEMAITRE Guillaume,1511.0752621441447,45.14064349325851,6
158,BOURGEOIS Florian,1511.0603918613147,40.009886628593264,23
159,CARPENTIER Léonard,1509.6138443340035,42.40642840853214,8
160,MARTEL Quentin,1506.3177236630115,42.40642840853214,8
161,BILLOT Julien,1504.8718594136378,40.183112953455485,15
162,BORDONADA Florian,1502.6295393632502,40.79232083523766,11
163,EOCHE-DUVAL Stéphane,1501.273837162926,40.006865502132,24
164,ROBIN Denis,1497.133043681892,41.65791003585406,9
165,BONNET Eric,1493.6409718853713,51.45275281723964,4
166,DELABRE Axel,1492.8646680782147,51.45275281723964,4
167,DE BASTIER Olivier (*),1492.1163752168045,45.14064349325851,6
168,BERTIN Lionel,1490.1950099511987,40.009886628593264,23
169,BLANCHET Sebastien (*),1490.1334621522526,47.61021561506259,5
170,ROBIN Rachelle,1488.6858356742764,45.14064349325851,6
171,LAJEUNESSE Vincent,1487.883955226932,40.26390159054981,14
172,LOUVRIER Stanislas,1485.9007005279507,47.61021561506259,5
173,SARRET Loïc,1485.4694510773238,51.45275281723964,4
174,DE TARADE Gaultier,1485.261051245202,40.38047455390968,13
175,PICANT Christian,1485.1854678215138,45.14064349325851,6
176,ROINE Sasha,1483.2442727738514,41.145144204059186,10
177,JEANNEAU Sébastien,1475.559857969644,40.02952724770834,20
178,THEPAULT Laurent,1475.496798358015,40.183112953455485,15
179,BECK Frédéric,1474.2597795456913,57.75331719781477,3
180,BIESSY Virgile,1473.2608925689892,40.00476760750815,25
181,FLORELLA Dimitry,1466.47617239109,42.40642840853214,8
182,THIBODOT Philippe,1464.9844917737196,41.145144204059186,10
183,SILVA RAMOS Joël,1464.9761446589368,51.45275281723964,4
184,RAULT Christophe,1461.7948327273562,45.14064349325851,6
185,COLLET Agwilh,1459.8757816665695,47.61021561506259,5
186,BOURGUIGNON Cyrielle,1451.669424056707,40.79232083523766,11
187,CODRIN Louis,1451.662503973306,45.14064349325851,6
188,AUFFRAY Alexandre,1451.4511792536891,40.38047455390968,13
189,FORTOUL Franck,1450.400248524037,57.75331719781477,3
190,GRANDJEAN Alexis,1443.8574821020875,42.40642840853214,8
191,DESBOIS Jean-Baptiste,1442.8322401450926,40.127088705613964,16
192,PETREL Lucie,1440.356871695551,45.14064349325851,6
193,NIOT Christophe,1438.33229942947,47.61021561506259,5
194,VERLET Laurie,1435.9812075028924,47.61021561506259,5
195,GARRIC Christian,1435.1460803793948,40.06124758539716,18
196,MOLLET Eric,1434.4594484874897,41.145144204059186,10
197,MICHON Mathéo,1429.5653373998737,41.65791003585406,9
198,COSTES Edouard,1425.5260831855278,47.61021561506259,5
199,DUCAMIN Léo,1424.1135051119818,45.14064349325851,6
200,NOEL Didier,1423.2361393587912,40.04252489331057,19
201,HERBRETEAU Eric,1422.9339186296265,40.54883629530469,12
202,SIDI Anli,1421.7092238608934,43.506526604781136,7
203,DUCAMIN Rémy,1419.1256794230737,40.04252489331057,19
204,DA COSTA Hilario,1418.9805837896326,40.54883629530469,12
205,PETRUZZELLA Denis,1408.7665743203602,40.04252489331057,19
206,BACHELOT Gérard,1406.7395803897498,42.40642840853214,8
207,CLEMENT Logahn,1406.2167951624344,40.009886628593264,23
208,DEKER Delphine,1404.9989660716476,40.127088705613964,16
209,FOUQUET Laurent,1398.0517742329,43.506526604781136,7
210,PICH Sylvie,1397.4334228546034,57.75331719781477,3
211,PANCIC Laurent,1379.8376030254465,42.40642840853214,8
212,LIGER Laurent,1379.5918084165044,47.61021561506259,5
213,MOUTON Antoine,1373.5418155534758,45.14064349325851,6
214,VITORINO Sandra,1372.5234522164924,51.45275281723964,4
215,PORTMANN Jean-Jacques,1363.4923155725262,57.75331719781477,3
216,DUSSAILLANT Guillaume,1361.604682438747,57.75331719781477,3
217,NOUVET Didier,1359.9047711381936,40.38047455390968,13
218,BLANC Florian,1358.4678011366082,51.45275281723964,4
219,ACHACHE Farid,1355.8595458755794,40.38047455390968,13
220,INIZAN Pierre,1352.613185986715,57.75331719781477,3
221,SEVESTRE Emeline,1346.684709863917,40.79232083523766,11
222,ROUX Pierre,1346.4933751201813,47.61021561506259,5
223,DRAI Samuel,1344.0286438289143,47.61021561506259,5
224,GUEGAN Gwenael,1343.3715363299787,57.75331719781477,3
225,BROUZE Philippine,1343.1519214018651,45.14064349325851,6
226,DO VALE Hugo,1340.0719606512678,47.61021561506259,5
227,SANCHEZ Frédéric,1333.3925809866175,45.14064349325851,6
228,SAUNIER Stéphane,1332.494903928283,57.75331719781477,3
229,LAGARDE Noël,1332.3003148688342,40.02952724770834,20
230,MALLO Jean-Marc,1331.782436187237,40.54883629530469,12
231,RAULT Alexandre,1328.5606248960441,41.65791003585406,9
232,PICANT Franck,1327.4952145900759,47.61021561506259,5
233,LOUCHART Olivier,1327.483440388079,43.506526604781136,7
234,LEFEBVRE Philippe,1327.383844280881,57.75331719781477,3
235,LOPES Nelson,1322.189824386929,45.14064349325851,6
236,SOULAYROL Stephan,1321.4453523379225,43.506526604781136,7
237,DELSART  Alexis,1316.875382004406,57.75331719781477,3
238,PLONQUET Morgane,1316.147436136567,40.38047455390968,13
239,MARTIN Frederic,1314.0762411807316,45.14064349325851,6
240,MACIUK Alexandre,1313.9786426367098,57.75331719781477,3
241,RICHARD Jean-Luc,1313.0137814056773,45.14064349325851,6
242,BREGERE Laurent,1312.896085349989,57.75331719781477,3
243,ETEVE Raphaël,1310.3144476814955,45.14064349325851,6
244,SILLIERE Xavier,1308.3119093310147,43.506526604781136,7
245,LEMOINE Malwenn,1307.3603602727596,43.506526604781136,7
246,SORENSEN Jacob,1307.3018687733052,57.75331719781477,3
247,PREAU Fabrice,1305.7155971200173,45.14064349325851,6
248,GINOD Jean-Paul,1304.2215014421602,42.85172032001465,14
249,PIGNON Pierre-Yves,1296.568525020329,41.65791003585406,9
250,ROSE Alain,1293.7888065997024,45.14064349325851,6
251,CHAPELET Kévin,1292.4913770073322,47.61021561506259,5
252,ARGELES Alexis,1288.2751165845164,43.506526604781136,7
253,STEEL Jason (*),1287.650132087888,47.61021561506259,5
254,VITASSE Sébastien,1285.1531762877166,51.45275281723964,4
255,FAZIO Pascal,1283.5434939835668,45.14064349325851,6
256,KARAYANNIS Alexandre,1281.471727483615,57.75331719781477,3
257,MARQUES Philippe,1280.968834198006,42.40642840853214,8
258,ROBIN Nicolas,1280.4749749399673,47.61021561506259,5
259,ROUILLIER Franck,1278.2616661848656,40.38047455390968,13
260,DUTEAU Sébastien,1277.80053096604,40.54883629530469,12
261,SEVESTRE Patrick,1271.1414234567585,40.38047455390968,13
262,PERON Michel,1269.2719146642987,40.26390159054981,14
263,CAZUGUEL Christian,1265.9676385628816,47.61021561506259,5
264,GRIFFIT Félix,1265.237294804117,40.001108751637744,29
265,NOUVET Florian,1263.2846420606847,57.75331719781477,3
266,SPRUTTA Agnès,1261.4093516552678,40.00229913538737,27
267,SIMON Patrice,1260.5015629509007,42.40642840853214,8
268,CHEVRIER Stéphane,1254.8473571909751,42.40642840853214,8
269,VILLENA William,1250.7948682307397,40.79232083523766,11
270,GRZYBEK Mathieu,1250.55983617864,40.127088705613964,16
271,MOYNET Christophe,1248.3928585997382,40.183112953455485,15
272,CASSEL Loïc,1242.7554549250012,45.14064349325851,6
273,MATHIEU Gilles,1241.5133349414368,41.65791003585406,9
274,BANCAREL Christophe,1237.9657888460347,57.75331719781477,3
275,PAGANI David,1237.6317235753572,40.001596610324775,28
276,AUFFRAY Lionel,1228.0761413228438,41.145144204059186,10
277,ROBINET Stéphane (*),1224.0572801090182,57.75331719781477,3
278,LINARD Jean-Jacques,1215.6777785338293,40.54883629530469,12
279,BOSCHER Pascal,1212.9706336226197,57.75331719781477,3
280,MARIE Alexandre,1212.5113000231997,40.006865502132,24
281,FRANCQUEMBERGUE Daniel,1201.3480823451123,51.45275281723964,4
282,DUPUY Adrien,1196.720671243313,47.61021561506259,5
283,DERLY Michel,1192.0933409791476,51.45275281723964,4
284,FORGET Patrick,1188.39427316553,40.127088705613964,16
285,CHOUIHA  Boualem,1185.1731890043225,40.183112953455485,15
286,BOIVENT Jean-Claude,1180.8910971894165,40.38047455390968,13
287,GRAVELAIS Michaël,1178.1250089830664,57.75331719781477,3
288,BRUNOT Gilles,1177.1306356594769,42.40642840853214,8
289,TITEUX Alain,1175.1829161740682,40.54883629530469,12
290,GUILLEMIN Thierry,1171.7903386471767,57.75331719781477,3
291,DUVALLET Yves,1170.3294526315779,40.26390159054981,14
292,DELEPINE Alexia,1167.9902687433994,40.006865502132,24
293,CARDO MUNIZ Carlos,1164.7458856804874,40.79232083523766,11
294,PHELPS Sam,1164.4240809605692,47.61021561506259,5
295,PINTO Luis,1159.9173574649576,51.45275281723964,4
296,CHRISTIEN Tanguy,1147.2428530079806,57.75331719781477,3
297,DELEPINE Jean-Paul,1145.5001162071778,40.54883629530469,12
298,MINOTTE Jean-Philippe,1144.0348986856538,40.38047455390968,13
299,PINAULT Pierre,1142.7844311944948,40.38047455390968,13
300,BARJOLIN Fabrice,1140.2321339642415,45.14064349325851,6
301,THILLAY Morgan,1139.9928742165716,41.65791003585406,9
302,CHEVRIER Jean-Jacques,1138.625997088845,41.145144204059186,10
303,JARNOUS Herné,1135.6833591314487,47.61021561506259,5
304,POYAU Axel,1135.2260475882892,43.506526604781136,7
305,BEAUGRAND Philippe,1131.311823000657,40.0001790678769,34
306,MICHOUT Céline,1128.9323998836437,40.79232083523766,11
307,BILLOT-MORNET Christophe,1116.9104401800905,40.000124352622706,35
308,BOHRER RODRIGUEZ Claudia,1113.3112578198213,47.61021561506259,5
309,BINON Nastasia,1100.627140668917,41.65791003585406,9
310,PAPON Coralie,1093.0503125323103,41.65791003585406,9
311,CLEMENT Joël,1092.9869613715732,40.02952724770834,20
312,ROUIBAH Amyra,1092.7644135111132,43.506526604781136,7
313,ROZENBERG Kamila,1091.0886924943698,40.38047455390968,13
314,VASSANT Robert,1090.5378669615175,47.61021561506259,5
315,HARDOUIN Stéphane,1071.0271075484395,40.08822089336331,17
316,FAZIO Léandre,1052.0669298897246,47.61021561506259,5
317,BAROUNI Selsabil,1051.9574357427048,43.506526604781136,7
318,LEROY Maurice,1050.638564774492,41.65791003585406,9
319,SION Jean-Marc,1044.036473369148,40.183112953455485,15
320,LEMAITRE Claude,1033.379369754266,40.009886628593264,23
321,WYSOCKA Jean Michel,1033.2582032840094,51.45275281723964,4
322,BOURGET Sandrine,1030.2745394848848,57.75331719781477,3
323,DELVAL Philippe,1029.918661590073,42.40642840853214,8
324,ETIENNE Pierre-Francois,1026.796369231554,40.02952724770834,20
325,BREBANT Anaïs,1025.792291441386,51.45275281723964,4
326,MOYNET Carole,1015.7973380928076,40.38047455390968,13
327,DA COSTA Sophie,1014.2985864376261,57.75331719781477,3
328,SAUVAGE Sophie,1008.4979497194945,40.02050313980621,21
329,MESTRINHO Vasco (*),988.4158625535141,45.14064349325851,6
330,HELLOUIN Christophe,982.6111286290594,40.38047455390968,13
331,HERAIL Julien,973.6898181194795,42.40642840853214,8
332,MARTINEZ Matias,969.89003191505,47.61021561506259,5
333,BARTHELME Pascal,958.8207377068449,57.75331719781477,3
334,HERVIEUX Sylvain,958.5704124608518,42.40642840853214,8
335,CHATILLON Patrick,957.0722681409075,47.61021561506259,5
336,GALINDO Sandra,938.9135784449563,45.14064349325851,6
337,MELO Christian,936.2294465493712,41.65791003585406,9
338,DEBOUT Camille,927.1758563024522,51.45275281723964,4
339,LEMOSQUET Laurence,925.7986695170614,42.40642840853214,8
340,PELISSIER Francis,916.4382081408021,40.06124758539716,18
341,PTAK Didier,902.7205980542203,42.40642840853214,8
342,DUPONT Eric,872.5216417844443,40.54883629530469,12
343,HERVIEUX Michel,870.6665547796955,40.38047455390968,13
344,SIDI Dhul,864.0851690924846,57.75331719781477,3
345,LORIVEL Sandrine,860.6574551054808,40.54883629530469,12
346,PICHOT Jean-Claude,828.622594556828,57.75331719781477,3
347,HERVIEUX Cécile,793.4229185181885,42.40642840853214,8
